location,region,"source.name"
,philadelphia,craigslist
,lasvegas,craigslist
,charlotte,craigslist
,lasvegas,craigslist
"Atlanta, Lawrenceville hwy / tucker / 285, Otp East",atlanta,backpage
,philadelphia,craigslist
"Coral Way, Miami",miami,backpage
"Inglewood / Hawthorne, Los Angeles",losangeles,backpage
"Lawndale, Los Angeles",losangeles,backpage
"Downtown, Los Angeles",losangeles,backpage
,lasvegas,craigslist
"New Orleans, West Bank",neworleans,backpage
,lasvegas,craigslist
,philadelphia,craigslist
,lasvegas,craigslist
,lasvegas,craigslist
,lasvegas,craigslist
,lasvegas,craigslist
,philadelphia,craigslist
,lasvegas,craigslist
,charlotte,craigslist
,charlotte,craigslist
,philadelphia,craigslist
,philadelphia,craigslist
,lasvegas,craigslist
,philadelphia,craigslist
,philadelphia,craigslist
,charlotte,craigslist
,lasvegas,craigslist
,lasvegas,craigslist
"Dearborn / Livonia, Detroit",detroit,backpage
"New Orleans, Uptown / Carrollton",neworleans,backpage
"East Side, Manhattan",newyork,backpage
,lasvegas,craigslist
"Queens, Woodside",newyork,backpage
"Babylon, Long Island",newyork,backpage
,lasvegas,craigslist
,lasvegas,craigslist
"staten island",newyork,craigslist
,philadelphia,craigslist
,lasvegas,craigslist
"Henderson, Las Vegas",lasvegas,backpage
"Houston, Katy",houston,backpage
"Houston, Pasadena",houston,backpage
"Bywater, New Orleans",neworleans,backpage
"City of Ft. Lauderdale, Ft Lauderdale, Miami, Miami Beach",miami,backpage
"Conroe, Houston",houston,backpage
"New Orleans",neworleans,backpage
"Long Island, Oyster Bay",newyork,backpage
"Philadelphia, West",philadelphia,backpage
"Boston, Boston/Camb/Brook, Brockton, South Coast, South Shore",boston,backpage
"Los Angeles, Santa Monica",losangeles,backpage
"Los Angeles, Venice",losangeles,backpage
Detroit,detroit,backpage
"Downtown, Manhattan",newyork,backpage
"Boston, Metro West",boston,backpage
"Gentilly, New Orleans",neworleans,backpage
Other,newyork,backpage
"San Antonio, West Side",sanantonio,backpage
"Bellevue, Kirkland, Seattle, Shoreline",seattle,backpage
,charlotte,craigslist
,lasvegas,craigslist
